track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date
Kahani Suno 2.0,Kaifi Khalil,1,162,6,156777415,1,10,1,0,58,26,38,91,0,10,4,2022-05-31
Karma,Taylor Swift,1,3818,23,404562836,37,55,32,0,64,10,62,7,0,48,7,2022-10-21
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,588,0,46142772,23,21,31,0,62,7,62,6,0,58,6,2023-05-26
Keep Driving,Harry Styles,1,2094,1,236060709,8,1,18,0,72,90,48,32,0,18,23,2022-05-20
Kill Bill,SZA,1,8109,77,1163093654,183,162,161,12,64,43,73,5,17,16,4,2022-12-08
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,15867,0,1575467011,382,65,497,0,77,74,66,30,0,13,3,2021-04-09
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,5199,0,594482982,45,43,45,0,85,22,37,13,0,7,30,2021-09-03
Komang,Raim Laode,1,158,4,137123880,5,6,1,1,70,35,41,41,0,10,3,2022-08-16
LA CANCI�,"J Balvin, Bad Bunny",2,6398,31,1435127549,177,109,305,3,75,43,65,15,0,11,32,2019-06-28
LA FAMA (with The Weeknd),"The Weeknd, ROSAL�",2,4640,3,374706940,81,93,507,6,77,82,30,95,0,13,5,2021-11-11
LA INOCENTE,"Feid, Mora",2,2598,37,477033549,28,57,43,8,76,46,79,31,0,7,6,2022-04-01
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,26,86444842,11,163,10,4,65,87,74,22,0,42,4,2023-06-22
LAGUNAS,"Jasiel Nu��ez, Peso P",2,58,18,39058561,2,106,4,2,77,79,62,33,1,15,3,2023-06-22
LALA,Myke Towers,1,1474,48,133716286,48,126,58,14,71,61,74,7,0,10,4,2023-03-23
LET GO,Central Cee,1,2301,20,298063749,49,23,110,0,74,51,45,86,0,21,38,2022-12-15
LLYLM,ROSAL�,1,1838,0,124988687,105,41,114,1,56,56,63,13,0,19,27,2023-01-27
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,3301,30,471819764,72,64,64,6,83,58,83,21,0,10,5,2022-07-25
LOVE DIVE,IVE,1,753,8,305771063,28,124,13,0,70,54,71,0,0,33,4,2022-04-05
LUNA,"Junior H, Peso Pluma",2,201,11,55842345,19,117,8,1,75,79,63,33,0,15,4,2023-06-22
La Bachata,Manuel Turizo,1,6804,45,1214083358,139,111,161,15,84,85,68,58,0,22,4,2022-05-26
La Bebe,Yng Lvcas,1,489,17,191945597,4,11,5,1,78,75,46,62,0,12,35,2021-12-24
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553634067,49,110,66,13,81,56,48,21,0,8,33,2023-03-17
La Corriente,"Tony Dize, Bad Bunny",2,1796,8,479655659,8,25,18,1,66,58,79,23,0,22,20,2022-05-06
La Jumpa,"Arcangel, Bad Bunny",2,3794,34,538115192,47,77,53,10,71,58,70,30,0,32,19,2022-11-30
La Llevo Al Cielo (Ft. ��engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,3559,3,333146475,36,1,31,0,80,77,85,11,0,17,14,2022-05-20
La Loto,"Anitta, Tini, Becky G",3,945,0,121189256,49,3,57,0,85,80,83,10,0,8,11,2022-07-06
La Santa,"Daddy Yankee, Bad Bunny",2,4890,20,759208783,52,42,100,0,74,59,87,3,0,8,5,2020-02-29
La Zona,Bad Bunny,1,1188,0,312622938,13,1,15,0,76,81,80,20,0,25,4,2020-02-29
Labyrinth,Taylor Swift,1,1597,0,187339835,6,3,15,0,48,15,31,80,22,12,4,2022-10-21
Lady Mi Amor,Feid,1,330,0,53987404,3,0,2,0,78,75,62,6,0,15,6,2022-09-13
Las Morras,"BLESSD, Peso Pluma",2,291,8,127026613,8,78,4,1,78,90,84,31,0,7,4,2023-04-04
Last Christmas,Wham!,1,22153,0,1159176109,274,111,,0,74,88,65,28,0,46,3,1984-01-01
Last Last,Burna Boy,1,4526,12,293466523,156,275,150,3,80,55,56,13,0,8,9,2022-05-12
Last Night,Morgan Wallen,1,2420,19,429829812,52,107,15,1,52,52,68,46,0,15,4,2023-01-31
Late Night Talking,Harry Styles,1,7461,8,743693613,166,42,199,16,71,90,73,30,0,11,5,2022-05-20
Lavender Haze,Taylor Swift,1,3763,8,488386797,51,43,38,10,73,10,44,26,0,16,8,2022-10-21
Layla,"Sch��rze, DJ R",2,832,3,130419412,18,124,24,1,44,41,92,0,0,44,7,2022-03-24
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,4893,4,651732901,143,24,110,0,72,67,72,0,0,13,4,2021-04-28
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,14417,0,1115880852,237,123,569,0,59,72,62,18,0,9,3,2021-03-05
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720434240,38,0,4,0,88,72,59,62,0,9,3,2022-06-24
Less Than Zero,The Weeknd,1,2800,0,200660871,18,77,61,0,53,50,79,0,0,8,3,2022-01-07
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,10585,0,473248298,126,108,406,0,60,86,32,88,0,34,6,1950-01-01
Let Me Down Slowly,Alec Benjamin,1,5897,19,1374581173,0,0,885,0,65,51,55,73,0,14,3,2018-05-25
Levitating,Dua Lipa,1,9833,0,797196073,233,82,531,1,69,90,88,5,0,29,8,2020-03-27
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,15894,8,1802514301,198,13,544,0,70,92,83,1,0,7,6,2020-03-27
Ley Seca,"Anuel Aa, Jhay Cortez",2,2012,0,355219175,101,12,38,0,76,58,84,10,0,13,10,2021-09-02
Le�,Mar��lia Mendo,1,993,4,267789608,30,84,88,1,74,79,87,45,0,30,3,2022-12-09
Life Goes On,Oliver Tree,1,2868,0,501541661,43,15,116,0,70,57,49,19,0,12,8,2020-07-17
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,3311,0,297328960,129,31,212,1,25,17,30,90,0,13,3,2022-10-28
Light Switch,Charlie Puth,1,4049,0,500340342,119,6,85,1,69,91,63,11,0,9,31,2022-01-19
Like Crazy,Jimin,1,596,68,363369738,8,104,23,2,63,36,73,0,0,36,4,2023-03-24
Like Crazy (English Version),Jimin,1,373,19,173627354,4,72,5,0,62,32,76,0,0,39,4,2023-03-24
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,215,6,51985779,6,14,8,2,43,14,74,1,0,19,8,2023-06-05
Limbo,Freddie Dredd,1,688,0,199386237,14,1,17,0,80,46,62,3,6,11,46,2022-08-11
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,197,0,32761689,3,10,3,0,92,59,51,41,51,26,8,2023-06-02
Little Freak,Harry Styles,1,2302,0,273194684,20,3,39,0,56,40,54,72,0,10,4,2022-05-20
